x,y
9185.5,12913
5482.1,14085
14422,7979.7
4281.6,5134.4
4976.2,7264.4
13552,9473.2
9174.2,11900
728.31,6111.4
6945.7,8916.3
11780,2875
4705,1941.2
10920,5179
6316.7,2782.7
9511.5,5219.8
809.82,3979.7
10347,3264.4
13284,1929.1
287.41,12781
13083,1418.9
13736,3961.3
8425.6,14665
7201.6,13012
2970.3,13885
10663,14451
11750,2491.9
4992.8,10646
11564,6501.5
4680.2,11167
1015.9,8181.2
13118,846.34
5119.6,12147
7984.2,4567.2
12586,7846.5
9614,142.72
11695,9771.9
6541.5,2946.8
818.74,8054.7
10032,10207
1330.8,7835.3
12781,14974
2700.2,13084
3645.9,8687.6
8672.2,6294.9
13980,14385
14436,529.94
14722,13576
2612.1,5608.8
7644.9,78.912
14283,14531
14497,14648
13101,9820.1
14443,9153.9
6414.7,9750
2498.2,2322
10943,5365.5
9001.9,7054.2
9453.9,11456
3365.6,6717.7
8530.2,11548
10300,2881.4
684.88,495.49
8863.8,2992.4
10506,14898
14889,14249
9758.8,7150.7
12633,7533.7
1701,5319.2
11875,3297.2
14521,10533
10234,4011.6
2067.6,10052
6739.8,9588.5
13621,11059
12850,14055
1649.9,1459.6
10630,12529
11707,4775.9
7569.1,4482.8
2060.5,10407
7518.5,9690.2
5150.5,12128
9795.9,12197
1554.9,864.73
13145,879.42
13537,789
1255.5,5810
604.26,12787
1993.2,13212
5686.1,14055
6403.7,10824
914.94,2643.9
14486,14283
9466.5,4058
7444.1,2435.6
4954.5,2531.9
2670.1,5242.7
860.47,2619.9
980.2,8164.4
9222.6,5182.8
13756,13309
9993,4745.9
14596,5181.1
10188,3725.7
9186.9,13414
6965.1,1521.2
8246.7,8872.5
14878,1920
2204.8,571.11
12560,6058.8
5237.5,1165.3
6699.6,5324.5
14891,8878
84.241,3881.5
11763,243.74
8548.4,9408
13741,3136.8
5271.5,61.788
8540.2,531.29
7254.8,9635.8
847.23,12456
778.26,5653.2
13480,3734.6
8462.1,8433
5573.4,14095
12907,5368.7
14056,6559.7
3868.1,11736
12659,14629
524.82,4474.2
7089.7,11045
10274,7948.7
4802.8,4559.7
6032.8,3778.3
13528,11951
12434,3036.3
13496,8599
12520,8658.8
1400.4,13753
13573,2067.1
2870.7,11707
1209.4,9658.7
1015.1,13647
13591,6629.4
10283,6409.1
4886,12666
14293,573.13
11817,2660.6
3981.4,12500
13659,2943.6
10263,8475.1
9947.1,3296.8
9669.7,8799.7
11783,774.74
3273.5,2878.6
1211.2,4849.4
1507.4,10188
5401.9,2142
27.249,5109.2
9479.9,2209.1
1326.9,4250.8
7428.1,12006
13159,10380
5808.5,7800.9
10837,1376.5
11342,6310.7
13641,7919.4
12853,14047
7855.5,9551.8
13811,6497.7
10367,2443.8
831.79,4609
14795,10579
1018.7,13054
11991,12900
4627.3,7370.7
5025.1,10141
8059.2,3147.5
6018,3882.3
9598.2,10523
141.05,9306.1
13625,612.45
377.27,9328.6
3900.9,713.83
5242.5,13458
11509,14519
12598,10006
1995.8,14108
2250.8,7353.2
6025.3,7170.6
8522.7,9603.3
1361.8,6791.3
597.53,8721
2625.8,1923.5
4505.8,8791.3
8389.4,10493
10488,9537.1
1449.8,6876.9
3471.6,6833.1
5814.8,14933
12277,11738
11771,11607
4996,12052
11191,9448.3
7458.3,10576
10100,3317.6
11708,5757.2
3339.3,10237
11038,117.12
575.08,7563.5
8293.3,2991.8
9783,5980.5
3539,13775
12626,11717
9373.8,8706.3
1251.4,9962.2
8394.7,2451.7
12582,4239.9
5630,1466.9
2636.7,12345
2455.1,8523.7
383.52,415.58
6081.9,5804.9
9817.6,13296
8854.5,12527
8588.3,10954
14569,6870.8
1367.4,12865
13944,3889.5
12295,6863
10290,8968.7
14578,7713.5
10545,5197.3
229.83,816.19
13879,1114.2
14634,7791.2
8647.2,8290.6
14591,11767
6396.5,14280
2527.1,13661
7937.3,5358.8
3833.3,2204.1
852.36,13986
13964,7162.9
6820.3,3056
1698.1,4720.7
3580.3,592.28
8355,14046
3352.6,7224
9150.5,6537.1
9167,13146
4813,4639.9
6353.9,12512
5680.2,5803.3
11489,10928
5489.4,13928
3394.4,12946
12568,9515.3
7299.5,14855
13158,10641
2234.4,12678
11766,1749
661.33,8032.1
8941.1,14843
1501.9,4068.8
10443,11346
9068.4,9940.5
8252.5,9965.7
11864,2218.7
4780,11747
10127,11369
9654.5,4227.2
14254,4025.8
393.48,447.01
6806.8,3615.5
609.39,4168.3
8580.9,2422.9
11102,7241
14692,4728.5
10987,9053.3
6161.2,10851
2235.1,6207.3
3258,13090
9887.1,12251
5294.2,12342
11951,822.59
6034.2,2533.6
4325.7,12089
11738,10200
3147.9,7890.3
9309.7,988.23
821.35,14463
2552,12254
4174.5,1278.1
3353.3,6233.3
12480,1518.8
8361.3,4665.6
11777,14114
3095.8,7728.5
8292.6,8898.1
12747,11875
10103,2382.6
10167,1362.8
6493.6,794.43
8399.3,2530.2
4785.1,10981
2892.7,2960.8
1144.8,9568.7
8521.8,11109
8104.4,14585
655.98,5706
2698.7,10501
3125.2,2883.3
8831.1,13776
10960,5341.9
6013.7,6912
4773.5,5256.5
511.28,12549
6936.4,1629.1
4172.1,9498.6
13242,8956.8
3552.3,8542.3
5734.8,1006.7
12966,3361
4072.7,3462.7
164.65,13816
5340.3,4241.6
10304,14299
9318.2,3248.2
9723.8,5641.9
5753.6,14270
8913.2,7480.8
12962,12316
4341.8,3053.4
9537.2,3251.5
6861.2,5544.7
13013,5728.5
13667,13967
11308,1090.2
5654.7,10863
4906.3,11525
14843,13952
12906,14082
954.5,90.891
5106.3,9767.2
9381.3,8510.1
14856,782.59
5022.3,825.7
3723.4,2910.7
7349.3,4449.3
8705.8,8104.3
5240.7,1636
4793.9,4975.7
14478,14676
12770,6997.3
9811.6,3166.1
9562,6184.8
6851.1,5333.4
13103,7560.3
10658,9143.3
855.01,13031
7746.1,952.57
6859.9,8702.4
7290.2,10646
5057.3,4220.2
6571,7348.8
11798,9912.3
9826.2,8756.9
2449.5,1510.1
6173.1,12004
14873,14752
8520.8,2444.2
11696,2500.7
11461,10415
4423,180.55
12991,12283
6129.5,12382
2776.8,5639.7
13488,5732.4
14708,14468
13817,9541.5
4612.8,11343
1673.1,5334.1
1755.6,6604.1
3649.9,6188.4
12098,10512
9026.2,5507
13941,14032
1866.1,4695.5
10049,5061
11059,4282.2
12054,10452
14912,9727.4
2365.2,1451.8
5325.9,12369
1306.1,7813.9
4383.5,498.05
5096.4,12418
6138.5,8048.1
3472.7,2784
6218.8,999.9
10311,13724
8759.1,6499.4
5565.5,11654
9223.9,5143
8493.6,10113
1067.7,3664.3
5007.8,5160.4
7860.3,3705.1
10838,8374.1
14797,5912.9
2796.3,14040
9169.3,13352
10074,7613
12295,2393.4
13201,12584
6601.8,10594
12095,13086
5945,2923.5
10158,1367.6
12219,6435.5
3263.8,6670.5
13723,7422.2
9270.8,4457.8
5642.8,11140
11075,10388
6619.6,11901
4063.4,1177.7
10274,6556.8
230.68,34.893
4383.3,7096.4
1182.4,11342
11577,14560
11835,1353.7
6761.8,3642.3
2526.3,2598.3
13780,12572
13979,4983.9
11373,10264
919.59,13514
8090.6,14609
9527.9,7616.4
12382,5437.5
6836.1,2974.1
14879,1175.9
6574.9,7402.9
12125,12166
5601.2,1027.8
9194,13400
1389.2,6684.2
10562,11919
12342,10626
12018,14070
1922.5,7595.8
9336,13415
8238.5,8488.8
7931.8,8796.3
11115,3012.9
10753,11829
1747,9576.7
1238.5,9974.4
2911.4,7415.7
10359,8620.2
5833.3,725.83
4407.5,5230.5
7531.8,10531
1565.3,3230.8
14644,3040.3
10370,14116
11075,12812
8769.8,6284.7
11572,8166.8
8284.1,8858.6
1034.9,8029.3
14790,13320
233.06,11999
5261.1,8344.3
11264,3684.5
12916,5567.7
3191.7,5291.7
11640,5756.9
6254.9,463.38
14349,9946.6
7178,3366.9
4884.2,12467
11682,4778.5
2812.2,1385.4
11966,689.93
14347,9207.1
10843,1648.3
10713,6920.8
12984,3077
2423.3,14013
10296,9252.7
8899,6218
9867.7,5756.2
8506.4,9941
10951,5097.7
10923,4780.5
3952.4,231.41
8391.6,13098
8149.4,75.344
5853.4,12076
10036,14626
4743.9,8230.2
12624,8570.1
7082.2,10027
4610.4,10580
5932,7667
4720.6,4472.2
11236,11584
13247,4597.6
9175.1,13401
14304,7896.2
